Enfermedad,Abstract,Tratamiento,Diagnostico
Enfermedad renal crónica,"La enfermedad renal crónica (ERC) o insuficiencia renal crónica (IRC) es una pérdida progresiva (por tres meses o más) e irreversible de las funciones renales, cuyo grado de afección se determina con un filtrado glomerular (FG) <60 ml/min/1.73 m².[1]​ Como consecuencia, los riñones pierden su capacidad para eliminar desechos, concentrar la orina y conservar los electrolitos en la sangre.[2]​","La meta de la terapia es retrasar o parar la progresión, de otra manera implacable, de ERC a IRCT. El control de la presión arterial y el tratamiento de la enfermedad original, siempre que sea factible, son los amplios principios de dirección. Generalmente, son usados los Inhibidores de la enzima convertidora de angiotensina (IECAs), o el antagonista de los receptores de angiotensina II (ARA II), dado que se ha encontrado que ellos retardan la progresión a IRCT.[11]​[12]​
La dieta hipoproteica (0,8 g de proteínas/kg de peso del paciente/día) retrasa la aparición de los síntomas de uremia, un efecto especialmente útil ante TFG<25 ml/min, sin embargo, son terapias que deben ser manejadas por nutricionistas capacitados, pues dietas con un aporte menor de proteínas pueden ocasionar un balance nitrogenado negativo que contribuye a una desnutrición.[4]​ Igualmente importante para prevenir la malnutrición en pacientes con ERC es el manejo de las calorías, con un aporte aproximado de 35 Kcal/kg/día.[4]​
Usualmente es necesario el reemplazo de la eritropoyetina y la vitamina D3, dos hormonas procesadas por el riñón, al igual que el calcio. Los quelantes de fosfato son usados para controlar los niveles de fosfato en el suero, que usualmente están elevados en la insuficiencia renal crónica.
Después de que ocurra el IRCT, se requiere la terapia de reemplazo renal, en la forma de diálisis o de un trasplante.","En muchos pacientes con ERC, ya son conocidas enfermedades renales previas u otras enfermedades subyacentes. Un número pequeño presenta con ERC de causa desconocida. En estos pacientes, ocasionalmente una causa es identificada retrospectivamente.
Es importante distinguir la ERC de la insuficiencia renal aguda (IRA) porque la IRA puede ser reversible.[9]​ Comúnmente es realizado el ultrasonido abdominal, en el cual se mide el tamaño de los riñones. Los riñones en la ERC usualmente son más pequeños que los riñones normales (< 9 cm), con excepciones notables por ejemplo en la nefrología diabética y en la enfermedad del riñón poliquistico. Otra pista de diagnóstico que ayuda a diferenciar la ERC de la IRA es un aumento gradual de la creatinina del suero (sobre varios meses o años) en comparación con un aumento repentino en la creatinina del suero (de varios días a semanas). Si estos niveles no están disponibles (porque el paciente ha estado bien y no ha tenido ningún análisis de sangre), ocasionalmente es necesario tratar a un paciente brevemente como si tuviera IRA hasta que se establezca si el empeoramiento renal es irreversible.
En los pacientes con insuficiencia renal crónica tratados con diálisis estándar se van acumulando numerosas toxinas urémicas (ver el enlace). Estas toxinas muestran varias actividades citotóxicas en el suero, tienen diversos pesos moleculares y algunas de ellas están enlazadas a otras proteínas, primariamente a la albúmina. Tales sustancias tóxicas, ligadas a proteínas, están recibiendo la atención de los científicos interesados en mejorar los procedimientos estándar hoy usados para la diálisis crónica."
Pancreatitis crónica,"La pancreatitis crónica es una inflamación progresiva del páncreas,[4]​ que da lugar a su destrucción, provocando la pérdida de sus funciones principales: alteración de la digestión de los alimentos (maldigestión) y aumento de los niveles de azúcar en sangre (diabetes mellitus).","Las diferentes opciones de tratamiento para el manejo de la pancreatitis crónica son las medidas médicas, la endoscopia terapéutica y la cirugía.[8]​ El tratamiento se dirige, cuando es posible, a la causa subyacente, y para aliviar el dolor y la malabsorción. La diabetes mellitus dependiente de la insulina puede presentarse y requerir una terapia de insulina a largo plazo.[9]​ El dolor abdominal puede ser muy intenso y requerir altas dosis de analgésicos, a veces incluso opiáceos. El cese del alcohol y las modificaciones en la dieta (dieta baja en grasas) son importantes para controlar el dolor y ralentizar el proceso calcificante.[10]​ Los antioxidantes pueden ayudar pero no está claro si los beneficios son significativos.[11]​","El diagnóstico de la pancreatitis crónica es difícil. Los análisis de sangre habitualmente no son útiles. Las pruebas diagnósticas más importantes son las de imagen.[6]​[7]​ La presencia de calcificaciones pancreáticas en una radiografía simple de abdomen es diagnóstico de pancreatitis crónica pero lo más frecuente es que no se vean. Existen muchas otras pruebas de imagen que nos permiten llegar al diagnóstico: ecografía, tomografía axial computarizada y resonancia magnética del abdomen, endoscopia digestiva con inyección de contraste en el páncreas (colangiopancreatografía retrógrada endoscópica o CPRE) o ecografía a través de endoscopia digestiva (ecoendoscopia). Existen otras pruebas que sirven para medir la capacidad de funcionamiento del páncreas."
Encefalopatía traumática crónica,"La encefalopatía crónica traumática (antiguamente llamada demencia pugilística o “punch drunk syndrome”) es una enfermedad neurodegenerativa, que se produce principalmente por la presencia de lesiones cerebrales traumáticas repetitivas con o sin síntomas,[1]​ incluyendo lesiones concusivas y sub-concusivas.[2]​ Actualmente se ha documentado en atletas que realizan deportes de contacto, como por ejemplo boxeo, rugby, MMA, fútbol americano, hockey sobre hielo, practicantes de otras artes marciales y lucha libre, pero también puede afectar a víctimas de una explosión que sufren los efectos de una onda expansiva.[3]​","El tratamiento para la ECT es sintomático. A medida que van apareciendo los síntomas, se va tratando cada uno con fármacos o terapias específicas.[1]​[5]​


== Referencias ==","Actualmente no hay un diagnóstico clínico definitivo para esta condición por la falta de especificidad sintomatológica que presenta la ECT, sin embargo, el examen histopatológico del cerebro en la autopsia es la modalidad diagnóstica definitiva.[1]​ Se ha estado desarrollando la posibilidad de la utilización de la Tomografía de Emisión Positiva con Flúor 18 ([F18] FDDNP PET), para la caracterización en vivo de la ECT, es decir, para la detección de esta patología en el cerebro vivo.[1]​"
Síndrome de Chédiak-Higashi,"El síndrome de Chédiak–Higashi es una enfermedad genética de transmisión autosómica recesiva que afecta múltiples sistemas del cuerpo y se origina por la mutación en un gen regulador del tráfico lisosomal (LYST). Se presenta en humanos, ganado bovino, tigres, gatos persas y orcas.[1]​[2]​","No existe un tratamiento específico para esta patología.
El trasplante de médula ósea está siendo comunicado como exitoso en algunos pacientes.
Se realiza tratamiento antibiótico de los procesos infecciosos y el drenaje de abscesos cuando la situación lo requiere.
Se usan antivirales en fases tardías de la enfermedad, esteroides, ciclofosfamida, y vitamina C que mejora la función inmune y la coagulación en algunos pacientes.[8]​",El diagnóstico se realiza a partir de la observación de extendidos de médula ósea que muestran cuerpos de inclusión gigantes en las células precursoras de los leucocitos. También puede detectarse en la época prenatal mediante una muestra de pelo o sangre fetal.[6]​
Cetoacidosis diabética,"La cetoacidosis diabética (CAD) es una complicación aguda metabólica grave de la diabetes mellitus, más común en las personas con la diabetes tipo 1, caracterizada por deshidratación, perdida de electrólitos, acidosis metabólica, hiperglucemia y cetosis. Además, puede ser la manifestación inicial de ambos tipos de diabetes.[2]​ Suele presentarse de forma superpuesta con el estado hiperglucémico hiperosmolar y ambas representan urgencias médicas por el riesgo que conllevan para la vida de los pacientes.[3]​","El tratamiento es urgente y debe instalarse de inmediato, y tiene dos principales objetivos: la corrección de la deshidratación y la hiperglucemia. Adicionalmente se debe vigilar y tratar el déficit de electrolitos y la eliminación o tratamiento de la causa de base o factores predisponentes. Por lo general, la meta es sacar al paciente de la acidosis en un máximo de 6 horas.
Antes de iniciar el tratamiento se debe valorar el grado de descompensación metabólica, la repercusión hemodinámica y respiratoria y si el paciente presenta acidosis grave o acidosis moderada, pero con alteración del nivel de conciencia o intolerancia oral.
La corrección de la deshidratación puede intentarse por vía oral, si el paciente se encuentra orientado y consciente. Desafortunadamente, la gran mayoría de los pacientes tiene algún grado de alteración en el nivel de alerta (desorientación, somnolencia, estupor, coma), y en tal caso está formalmente contraindicada la administración oral de líquidos, debido al riesgo de broncoaspiración.
La reposición de líquidos se inicia generalmente con una solución hipotónica de NaCl al 0,45 % de concentración, con el fin de administrar esencialmente agua ""libre"", restituyendo el volumen intravascular y corrigiendo la deshidratación. Paulatinamente y de acuerdo a la mejoría del paciente, se pueden alternar soluciones isotónicas con NaCl al 0,9 %, para continuar la hidratación y reponer el sodio perdido por diuresis, sin provocar un desequilibrio electrolítico.
La corrección de la hiperglucemia se realiza con la administración de insulina por vía parenteral. La dosis depende de la vía y métodos utilizados. Por ejemplo: si se utiliza la vía intramuscular (IM) o la subcutánea (SC). Por lo general se indican 0,1 UI/kg de peso corporal como dosis inicial,[6]​ dividida la mitad por vía intravenosa (IV) y la otra mitad por la vía elegida (IM o SC). Si se usa solo la vía IV (más práctica) se da una dosis inicial de 0,15 UI/kg. En ambos casos se continúa el tratamiento con una infusión intravenosa de insulina a dosis de 0,1 UI/kg/h. La insulina intramuscular es una alternativa cuando no se dispone de una bomba de infusión continua o cuando se dificulta el acceso endovenoso, como en el caso de niños pequeños.[7]​
Es esencial recordar que la vigilancia de los niveles sanguíneos de glucosa, electrólitos séricos, pH sanguíneo y osmolaridad sérica debe realizarse con frecuencia —cada hora— y una vez iniciada la terapia, para evitar errores de dosificación, deben ajustarse las dosis de acuerdo a la evolución y prevenir trastornos como la hiponatremia dilucional —exceso de restitución hídrica—, edema cerebral —por alteración de la osmolaridad— o hipoglucemia —por sobredosis de insulina—.
Además de lo anterior, debe considerarse la reposición de potasio si la concentración es menor de 3,3 mEq/L, y de bicarbonato si el pH es menor de 7,0,[6]​ aunque ninguna de estas medidas debe ser prioritaria a la restitución de líquido y al tratamiento de la hiperglucemia. Aunque la concentración de potasio en sangre parezca ser fisiológica, todo paciente con cetoacidosis diabética tiene una disminución del potasio corporal, que puede resultar ser grave.[7]​ Solo se administra potasio si el paciente tiene buena función renal, y no se indica en las primeras horas si el enfermo está recibiendo una rehidratación veloz. Si el potasio en el plasma sanguíneo es menor de 3,3 mEg/L se suele administrar 40 mEq de potasio en 24 horas. Si el potasio sérico está entre 3,3 y 5 mEq/L se administran entre 20 y 30 mEq en 24 horas.
Las medidas anteriores deben mantenerse hasta alcanzar una concentración de glucosa igual o inferior a 200 a 250 mg/dL. Una vez logrado este objetivo, el resto de la terapia deberá ser acorde a las características individuales del paciente y su evolución.","El diagnóstico se confirma sobre la base de la historia clínica y el examen físico. Los síntomas reflejan la hiperglucemia y el aumento de los ácidos grasos libres.
La CAD se caracteriza por hiperglucemia, cetosis y acidosis metabólica (con aumento de la brecha aniónica). Es frecuente que el bicarbonato sérico sea <10 mmol/L, y el pH arterial oscile entre 6,8 y 7,3, dependiendo de la gravedad de la acidosis.
El ascenso del nitrógeno de la urea sanguínea (BUN) y de la creatinina sérica refleja el decremento de volumen intravascular. Las determinaciones de creatinina sérica pueden estar falsamente elevadas por el acetoacetato (un cuerpo cetónico).
Se encuentra a menudo leucocitosis, hipertrigliceridemia e hiperlipoproteinemia.
El sodio sérico está disminuido a consecuencia de la hiperglicemia, ya que ésta provoca que salga agua de las células y termina diluyendo el sodio sérico. Habrá depleción del potasio.
La determinación de cetonas séricas es fundamental para el diagnóstico. También hay cetonuria aumentada, elevación del hematocrito, leucocitos, hiperuricemia e hiperosmolaridad.[5]​"
Eritroblastopenia congénita de Blackfan-Diamond,"La eritroblastopenia congénita de Blackfan-Diamond, anemia de Diamond-Blackfan (ADB), anemia aneritroblástica, anemia hipoplásica eritroide congénita, aplasia pura de serie eritroide, síndrome de Aase o síndrome de Aase-Smith es una enfermedad genética del grupo de los síndromes de fallo medular hereditario, caracterizada por anemia, malformaciones congénitas y una predisposición mayor a padecer cáncer.[1]​[2]​","El tratamiento de elección son los corticoides a dosis altas (prednisona a 2-4 mg/kg/d) con lo que al mes se consigue la remisión de más del 65-75% de los casos. Por desgracia en la mayoría de enfermos hay que mantener unos niveles mínimos de corticoterapia toda la vida.
En los pacientes corticoresistentes se prueba primero con andrógenos, pero es común tener que transfundir hematíes periódicamente lo que conlleva un alto riesgo de hipersideremia y obliga a asociar quelantes férricos como la desferrioxamina. En los casos con pobre respuesta a la terapia habitual se está ensayando el trasplante de médula ósea.
Se comunicaron remisiones espontáneas de la anemia de Blackfan-Diamond, pero hay que ponerlo en duda porque siempre es posible una confusión con la eritroblastopenia transitoria del lactante.
El trasplante de células madre del cordón umbilical es un tratamiento con un porcentaje bastante alto de éxito y que, desde hace varios años, supone una solución fiable a esta afección. Teniendo en cuenta que sólo 1 de cada 120.000 personas padecen esta dolencia rara, es una enfermedad que se trata habitualmente siempre y cuando se encuentre el donante más compatible.","El diagnóstico diferencial más delicado es con la eritroblastopenia transitoria del lactante y con las eritroblastopenias secundarias a infecciones víricas. La evolución acabará aclarando las dudas, pero mientras eso ocurra los datos que sugieren una forma transitoria serán el comienzo más tardío, la posible relación con una infección vírica, ausencia del antígeno-i y niveles normales de HbF. La diferenciación con otras formas secundarias de anemias hemolíticas, tumores, nefropatías, medicamentos, etc... es más fácil."
Diarrea,"La diarrea —del griego antiguo διάρροια (diárrhoia), y este de διά (día) ‘a través’ y ῥέω (rheo) ‘corriente’ o ‘flujo’— son heces pastosas o líquidas, cuyas evacuaciones ocurren 3 o más veces al día.[2]​ La diarrea aguda suele durar uno o dos días.[3]​ A partir de 2 semanas se considera crónica,[2]​ aunque los síntomas pueden aparecer y desaparecer.[3]​ No se justifica por estados de ansiedad, sino que suele ser un signo de una enfermedad crónica.[3]​[4]​ Los ""nervios"" no causan diarrea, solo de forma excepcional y en muy poca cantidad.[4]​ En la Escala de heces de Bristol, los números 5 a 7 son tipos de diarrea.","Aunque no suele ser peligrosa, la diarrea ha causado millones de muertes en todo el mundo, principalmente como consecuencia de la deshidratación. La diarrea de diferentes causas, está asociada también con una reducción del consumo de alimento.[35]​ Por esa razón, el principal tratamiento contra la diarrea implica un consumo de cantidades adecuadas de agua para sustituir la pérdida de líquidos, mezclada preferiblemente con electrolitos para recuperar las sales minerales esenciales y ciertos nutrientes. En la mayoría de los casos un tratamiento adicional o el consejo médico resultan innecesarios.
El tratamiento general de la diarrea puede esquematizarse en 4 fases:[31]​

Corrección de los déficits de agua, electrolitos y equilibrio ácido-base. En formas leves o moderadas, debe hacerse siempre por vía oral: la eficacia de la rehidratación oral y la tolerancia a la reintroducción de la dieta y la ganancia de peso es superior frente a la hidratación intravenosa. En los casos más leves (en los que se mantiene la alimentación), la ingestión de suplementos líquidos en forma de agua, tisanas o refrescos puede ser suficiente; si se ha suprimido la alimentación, se pueden utilizar diversas soluciones orales diseñadas para tratar la diarrea infecciosa. Las soluciones para deportistas no deben utilizarse, porque resultan hiperosmóticas.
Nutrición adecuada: en contra de algunas creencias establecidas, en la mayoría de los casos de diarrea no es necesario establecer un reposo estricto del intestino; la supresión de la alimentación en los niños puede conducir a una pérdida diaria del 1-2 % (por ciento) del peso corporal (sin contar las pérdidas fecales) que puede poner su vida en peligro. Aunque la absorción intestinal está reducida en la diarrea, no está totalmente abolida, y se absorbe una proporción no despreciable de principios inmediatos. De hecho, la evolución de los pacientes nutridos es mejor que en los que ayunan (menores pérdidas fecales y menor duración temporal). En la mayor parte de los casos, la diarrea cede en pocos días con medidas sencillas, como evitar alimentos que aumenten el volumen de las heces y la motilidad intestinal (vegetales, pieles de frutas o verduras, grano entero de cereal, etc.). También es recomendable la ingesta de determinados microorganismos que ayuden a restablecer la flora intestinal, como los yogures con bifidus o preparados de levaduras como el Perenterol.[36]​ Por otro lado, en la afección generalizada del intestino, debe evitarse la leche y derivados, porque suele producirse un déficit de disacaridasas, que impide la digestión de la lactosa y empeora la diarrea.
Tratamiento sintomático de la diarrea y los síntomas acompañantes: hay algunos medicamentos con actividad antidiarreica, que pueden ser beneficiosos, pero pueden estar contraindicados en algunos casos.[37]​
Tratamiento específico del agente o factor responsable de la diarrea: en algunos casos, puede ser recomendable el uso de antibióticos (ver más abajo, en el apartado ""Antibioterapia"").Los siguientes tipos de diarrea indican generalmente la necesidad de supervisión médica:

diarrea en niños pequeños
diarrea moderada o grave en niños
diarrea acompañada de sangre: véase disentería
diarrea continua durante más de dos semanas
diarrea asociada con alguna otra enfermedad más general tal como dolor de estómago o abdominal, fiebre, pérdida de peso, etc.
diarrea en turistas o viajeros (probablemente debida al resultado tener infecciones exóticas tales como parásitos)
diarrea en personas que manipulan alimentos (por el potencial que tienen de infectar a otros)
diarrea en instituciones (hospitales, guarderías, clínicas de reposo mental, centros sanitarios, centros geriátricos, etc.).",
Diástasis de rectos abdominales,"La diástasis de rectos abdominales, diástasis de rectos o diástasis abdominal es la separación de los músculos rectos del abdomen. Es una de las alteraciones anatómicas que puede llevar a la proyección anterior de la pared abdominal. También se conoce como diastasis recti.[1]​ Se produce la protrusión de la pared abdominal anterior a nivel de la  línea media como consecuencia del debilitamiento y adelgazamiento de la línea alba.[2]​","“El tratamiento consiste en tranquilizar al paciente y a la familia, comentando la  naturaleza inocua del trastorno”. (Beauchamp et al., 2013, p.1094)
Debido a las pocas complicaciones que presenta esta condición, la cirugía de corrección de rutina no está recomendada e inclusive está contraindicada, excepto en aquellos pacientes  que presentan mucha sintomalogía o por razones estéticas.[2]​[6]​
Son las razones estéticas las que hacen que especialmente algunas mujeres después del embarazo y como consecuencia de cierta separación o diástasis en su abdomen, aprovechan para mediante una abdominoplastia corregir la separación de los músculos abdominales, a la par que eliminan el exceso de piel y grasa en la zona.[7]​   
La cirugía consiste en reparar la porción debilitada de la línea alba y realizar una reaproximación de los rectos abdominales o la interposición de una malla sintética en el sitio del defecto. Como alternativa, la colocación de la malla se puede colocar por vía laparoscópica.
Esta patología no debe ser tratada con cirugía, como bien se menciona anteriormente, salvo por fuerza mayor. De este modo podemos hacer referencia a técnicas fisioterápicas activas con las que mejorar el tono de los músculos del abdomen, no así con trabajo directo sobre los rectos, consiguiendo la prevención e incluso la rectificación de la misma, consiguiendo un tono muscular y una sujeción visceral para evitar la apertura de esta estructura lesionada.
Este trabajo, debe estar dirigido en todo momento por un profesional sanitario especializado en la terapia física, que dirigirá todos los parámetros que deben ser controlados en la realización del mismo.[6]​","La diastasis recti se puede identificar fácilmente al examen físico. Es visible cuando el paciente realiza la maniobra de Valsalva. Además se pueden palpar los bordes de los  rectos abdominales rígidos secundario a la contracción voluntaria (1). La diastasis de los rectos abdominales no equivale a una hernia ventral, ya que la fascia traversalis se encuentra intacta, no se va a observar el anillo aponeurótico ni el saco herniario por lo tanto no hay hernia.[2]​[5]​ Se pueden utilizar estudios de imagen complementarios como el ultrasonido y la tomografía computarizada.
Una manera fácil de poder determinar si sufrimos diástasis es de la siguiente forma: tumbado boca arriga con las rodillas flexionadas intentamos mirarnos el ombligo o realizar una pequeña abdominal y, en este punto, podemos comprobar cuantos dedos entran en la línea alga. Si entran unos dos dedos y medio ya se puede decir que padecemos diastasis de rectos."
Hiperplasia difusa idiopática de células neuroendocrinas pulmonares,"La hiperplasia difusa idiomática de células neuroendocrinas pulmonares (DIPNECH por su acrónimo en inglés) es una enfermedad difusa del parénquima pulmonar cuyos síntomas frecuentes son tos y dificultad respiratoria. La definición patológica publicada por la Organización Mundial de la Salud es: «una proliferación generalizada de células aisladas esparcidas, nódulos pequeños (cuerpos neuroendocrinos), o proliferaciones lineales de células neuroendocrinas pulmonares (PNE por su acrónimo en inglés) que puede estar limitada a los bronquios y al epitelio bronquiolar.»[1]​ La prevalencia verdadera de esta enfermedad no se conoce todavía. Hasta ahora, en la literatura (médica) se han presentado 200 casos.[2]​ Aun así, con un aumento en reconocimiento de esta enfermedad por radiólogos y neumólogos, la cantidad de casos ha ido en aumento. La DIPNECH afecta de modo predominante a mujeres de mediana edad a causa de una lenta obstrucción pulmonar progresiva.[3]​ La DIPNECH normalmente se manifiesta de dos maneras:[4]​","A la fecha no se han realizado ensayos clínicos para determinar un tratamiento eficaz de esta enfermedad. Algunos pacientes han sido tratados con análogos de la somatostatina. A pesar de que la tos asociada con DIPNECH tiende a disminuir mediante este tratamiento, no se ha demostrado de manera fehaciente mejora en la función pulmonar.[2]​[8]​ Existen también informes de tratamiento síntomático con beta-agonistas de duraciones larga y corta. A pesar de que se han utilizado esteroides en la DIPNECH, orales e inhalados, con este tratamiento no se aprecia mejora clara.
No es infrecuente que los tumores carcinoides típicos surjan dentro de DIPNECH. A causa de ello, la DIPNECH está clasificada como un estado premaligno.[1]​ No obstante que ha habido informes de carcinoides atípicos con implicación de un nódulo linfático local, no hay informes de tumores neuroendocrinos más agresivos, como cánceres grandes de células neuroendrocrinas o pequeños de células pulmonares, asociados con DIPNECH.[3]​ Cuando se diagnostica un carcinoide bronquial aislado, las guías oncológicas recomiendan resección quirúrgica con muestreo de linfadenectomía.[10]​ Sin embargo, porque en el establecimiento de la DIPNECH se pueden desarrollar múltiples carcinoides, para preservar función pulmonar, a menudo se considera un planteamiento más conservador.","El criterio diagnóstico más importante es típicamente una biopsia quirúrgica confirmada. Se han propuesto otros criterios de diagnóstico menores.[8]​

Presentación clínica: mujer, de 45 a 67 años de edad con tos y/o dificultad respiratoria desde 5 hasta 10 años.
Función pulmonar: volumen residual aumentado, capacidad pulmonar total aumentada, obstrucción fija, baja capacidad de difusión pulmonar de monóxido de carbono corregida con volumen alveolar (DLCO).
TC de alta resolución: nódulos pulmonares difusos de 4–10 mm, más de 20 nódulos, patrón de atenuación o aire atrapado en más de 50 % del pulmón.
Biopsia transbronquial: proliferación de células neuroendocrinas pulmonares.
Marcadores de suero: niveles de cromogranina A elevados."
Panbronquiolitis difusa,"La panbronquiolitis difusa (PBD) es una enfermedad pulmonar inflamatoria de causa desconocida que se da con muy poca frecuencia en los países occidentales, pues casi todos los pacientes son de origen asiático.[1]​ Es una forma grave y progresiva de bronquiolitis, una enfermedad inflamatoria de los bronquiolos (pequeños conductos de aire en los pulmones). El término panbronquiolitis se refiere a la inflamación en todas las capas de los bronquiolos respiratorios (que participan en el intercambio de gases), mientras que difusa significa que las lesiones aparecen a lo largo de ambos pulmones. La PBD causa inflamación severa y lesiones nodulares de los bronquiolos terminales, sinusitis crónica y tos intensa con abundante producción de esputo.","Los antibióticos macrólidos, como la eritromicina, son un tratamiento eficaz para la PBD cuando se toman regularmente durante un período prolongado de tiempo.[17]​[18]​ Comúnmente también se emplea claritromicina o roxitromicina.[19]​ Los resultados exitosos de los macrólidos en la PBD y en enfermedades pulmonares similares se deben al manejo de ciertos síntomas a través de la inmunomodulación (ajuste de la respuesta inmune),[18]​ el cual se puede lograr mediante la toma de antibióticos en dosis bajas. El tratamiento consiste en la administración diaria de eritromicina[8]​ por vía oral durante dos o tres años. Se ha demostrado que en este intervalo de tiempo mejoran dramáticamente las manifestaciones de la PBD. Esto se evidencia cuando un individuo bajo tratamiento por PBD, entre una serie de criterios relacionados con la remisión de la enfermedad, tiene un recuento de neutrófilos normales detectado en el líquido del lavado broncoalveolar, y la gasometría arterial (un examen de sangre arterial que mide la cantidad de oxígeno y dióxido de carbono en la sangre) muestra que el oxígeno libre en la sangre se encuentra dentro del rango normal.[17]​[18]​[20]​ Se ha sugerido una interrupción temporal programada del tratamiento con eritromicina, para reducir la aparición de P. aeruginosa resistente a los macrólidos.[17]​ Sin embargo, generalmente reaparecen los síntomas, y puede ser necesario reanudar el tratamiento. Aunque altamente efectiva, la eritromicina puede no ser útil para todos los individuos con la enfermedad, sobre todo si hay presencia de P. aeruginosa resistente a los macrólidos, o si ha evolucionado una PBD no tratada hasta producirse una insuficiencia respiratoria.[18]​[20]​
Con el tratamiento de la PBD con eritromicina, la gran reducción en la inflamación y el daño bronquiolar se logra a través de la supresión no solo de la proliferación de neutrófilos, sino también de la actividad de los linfocitos, la mucosidad obstructiva y las secreciones acuosas en las vías respiratorias.[17]​ Los efectos benéficos de los macrólidosen la reducción de la inflamación en la PBD no están relacionados con sus efectos antibióticos.[20]​ Esto ocurre debido a que la dosis empleada es demasiado baja para combatir una infección, además, en los casos de PBD con presencia de P. aeruginosa resistente a los macrólidos, el tratamiento con eritromicina todavía reduce la inflamación.[17]​
Varios factores están involucrados en la supresión de la inflamación por la eritromicina y otros macrólidos. Son especialmente eficaces al inhibir la proliferación de los neutrófilos, por disminución de la capacidad para atraerlos de la interleucina 8 y el leucotrieno B4.[21]​ Los macrólidos también reducen la eficacia de las moléculas de adhesión que permiten a los neutrófilos adherirse al revestimiento del tejido bronquiolar. La producción de moco en las vías aéreas es un factor importante en la morbilidad y mortalidad de la PBD y otras enfermedades respiratorias. La reducción significativa de la inflamación en la PBD atribuida a la terapia con eritromicina también ayuda a inhibir la producción de moco en exceso.[21]​","El diagnóstico de la PBD requiere el análisis de los pulmones y los tejidos bronquiolares, lo que puede requerir una biopsia pulmonar, o el método más preferido, una exploración de los pulmones mediante una tomografía computarizada de alta resolución (TCAR).[8]​ Los criterios para el diagnóstico incluyen inflamación severa en todas las capas de los bronquiolos respiratorios y lesiones del tejido pulmonar que aparecen como nódulos entre los bronquiolos terminales y respiratorios en ambos pulmones.[5]​ Los nódulos en la PBD, en una radiografía de tórax, aparecen como bultos opacos, y pueden causar obstrucción de las vías aéreas, lo que se evalúa mediante una prueba de función pulmonar, o espirometría.[7]​ La radiografía de tórax también puede revelar la dilatación de los conductos bronquiolares, otro signo de PBD. La TCAR a menudo muestra bloqueo de algunos pasajes bronquiolares con moco, lo que se conoce como el signo del ""árbol en brote"".[8]​ La hipoxemia, otro signo de dificultad respiratoria, se revela mediante la medición de las concentraciones de oxígeno y de dióxido de carbono en la sangre, mediante un análisis de sangre llamado gasometría arterial. Otros hallazgos observados en pacientes con PBD incluyen proliferación de linfocitos (glóbulos blancos que combaten las infecciones), neutrófilos e histiocitos espumosos (macrófagos tisulares) en el revestimiento pulmonar. También son detectables bacterias tales como H. influenzae y P. aeruginosa, esta última cada vez más prominente a medida que progresa la enfermedad.[5]​[6]​ Los glóbulos blancos, las bacterias y otros componentes celulares de la sangre pueden medirse mediante un hemograma. Pueden observarse niveles elevados de IgG e IgA (tipos de inmunoglobulinas), así como la presencia de factor reumatoide (un indicador de autoinmunidad). También puede ocurrir hemaglutinación (aglutinación de los glóbulos rojos en respuesta a la presencia de anticuerpos en la sangre). También pueden detectarse los neutrófilos, las beta defensinas, los leucotrienos y las quimiocinas en el líquido del lavado broncoalveolar instilado y luego aspirado de las vías aéreas bronquiolares de los individuos con PBD, para su evaluación.[5]​[10]​"
Intoxicación por digoxina,"La intoxicación por digoxina, también conocida como envenenamiento por digoxina, es un tipo de envenenamiento que se produce en personas que toman demasiada medicación como la digoxina o que comen plantas como las del género Digitalis que contienen una sustancia similar.[1]​[2]​ Los síntomas son típicamente vagos.[1]​ Pueden incluir vómitos, pérdida de apetito, confusión, visión borrosa, cambios en la percepción de los colores y disminución de la energía.[1]​ Las posibles complicaciones incluyen un latido cardíaco irregular, que puede ser demasiado rápido o demasiado lento.[1]​ ","El tratamiento principal de la intoxicación por digoxina son los anticuerpos antidigoxina (Fab), que son un anticuerpo compuesto por fragmentos de inmunoglobulina anti-digoxina. Se ha demostrado que este antídoto es altamente efectivo en el tratamiento de los signos de toxicidad por digoxina que amenazan la vida, como la hipercaliemia, la inestabilidad hemodinámica y las arritmias.[11]​ La dosis de Fab se puede determinar por dos métodos diferentes. El primer método se basa en la cantidad de digoxina ingerida, mientras que el segundo método se basa en la concentración de digoxina sérica y el peso de la persona.[10]​ 
Otro tratamiento que puede usarse para tratar las arritmias que amenazan la vida hasta que se adquiere el Fab son el magnesio, la fenitoína y la lidocaína. El magnesio suprime las arritmias ventriculares inducidas por la digoxina, mientras que la fenitoína y la lidocaína suprimen la automaticidad ventricular inducida por la digoxina y el retraso de las despolarizaciones posteriores sin deprimir la conducción AV. En el caso de una frecuencia cardíaca anormalmente lenta (bradiarritmias), se puede usar atropina, catecolaminas (isoprenalina o salbutamol) y/o un marcapasos cardíaco temporal.[8]​ 


== Referencias ==","En individuos con sospecha de intoxicación por digoxina, se obtiene una concentración sérica de digoxina, concentración sérica de potasio, creatinina, BUN y electrocardiogramas seriados.[7]​"
